,second_name,first_name,id,team,element_type,total_points,points_per_game,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,form,in_dreamteam,news,news_added,now_cost,photo,selected_by_percent,special,squad_number,status,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
145,Estupiñán,Pervis,131,5,2,54,3.4,100.0,100.0,204214,0,0,-1,1,1,0.0,2.0,6,2.0,False,,2023-11-10T02:00:09.926001Z,49,204214.jpg,21.6,False,,a,36,3869565,4987,6672327,31662,0.4,11.0,Estupiñan,1050,2,3,3,21,1,0,0,4,0,0,7,255,314.0,359.3,152.0,82.5,12,0.98,2.13,3.11,20.45,186,69,69,13,176,32,126,27,3.0,,,,,,0.08,0.0,0.18,0.26,1.75,1.8,239,26,164,52,105,18,13,4,1.03,0.26
146,Karbownik,Michał,136,5,2,0,0.0,0.0,0.0,442229,0,0,0,0,0,0.0,0.0,0,0.0,False,Permanent transfer to Hertha BSC,2023-08-09T08:35:32.699094Z,40,442229.jpg,0.0,False,,u,36,0,0,2409,0,0.0,0.0,Karbownik,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,596,218,582,217,545,206,600,218,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,719,198,461,168,607,214,678,238,0.0,0.0
147,Lamptey,Tariq,139,5,2,25,1.9,100.0,100.0,232792,0,0,-1,1,0,0.0,1.8,1,1.8,False,,2024-02-29T00:30:10.324612Z,39,232792.jpg,4.7,False,,a,36,865853,2263,1077018,5298,0.5,6.4,Lamptey,590,0,3,1,11,0,0,0,3,0,0,0,114,97.8,94.1,49.0,23.8,7,0.28,0.48,0.76,5.61,349,136,266,77,318,101,351,128,,,,,,,0.04,0.0,0.07,0.11,0.86,1.68,808,253,172,53,311,104,79,29,1.07,0.15
148,van Hecke,Jan Paul,150,5,2,52,2.3,,,469142,0,0,1,-1,0,0.0,3.5,6,3.5,False,,,41,469142.jpg,3.3,False,,a,36,557527,1831,321741,5564,0.9,12.7,Van Hecke,1918,0,0,4,28,0,0,0,3,0,0,3,378,534.8,148.2,165.0,84.9,21,1.33,0.84,2.17,27.70,52,16,196,44,164,24,123,25,,,,,,,0.06,0.0,0.04,0.1,1.3,1.31,671,165,71,16,246,79,101,40,0.99,0.19
149,Veltman,Joël,151,5,2,28,1.4,100.0,100.0,111478,0,0,-2,2,0,0.0,1.8,5,1.8,False,,2024-02-28T00:00:09.916519Z,43,111478.jpg,0.4,False,,a,36,101202,195,171370,161,0.4,6.5,Veltman,1124,0,1,1,25,0,0,0,2,0,0,0,204,218.2,79.5,53.0,35.2,11,0.23,0.41,0.64,18.78,244,93,294,94,313,99,297,101,,,,,,,0.02,0.0,0.03,0.05,1.5,2.0,610,130,174,54,394,136,256,101,0.88,0.08
150,Webster,Adam,153,5,2,13,1.3,100.0,100.0,110735,0,0,-3,3,0,0.0,0.5,0,0.5,False,,2023-11-24T20:30:09.752187Z,42,110735.jpg,0.2,False,,a,36,20084,44,37613,104,0.1,3.1,Webster,766,0,0,1,16,1,0,0,2,0,0,0,142,162.0,73.2,32.0,26.9,9,0.37,0.25,0.62,12.88,304,117,306,100,362,125,335,121,,,,,,,0.04,0.0,0.03,0.07,1.51,1.88,653,153,298,97,407,140,367,145,1.06,0.12
151,dos Santos de Paulo,Igor Julio,606,5,2,17,1.1,100.0,100.0,223434,0,0,-2,2,0,0.0,0.8,1,0.8,False,,2023-12-29T00:00:11.103432Z,43,223434.jpg,0.1,False,,a,36,19693,43,25199,89,0.2,4.0,Igor,997,0,0,0,17,0,0,0,4,0,0,1,167,181.6,79.8,12.0,27.4,11,0.10,0.23,0.33,14.81,285,109,293,93,424,156,333,120,,,,,,,0.01,0.0,0.02,0.03,1.34,1.53,630,143,261,86,424,145,405,158,0.99,0.0
152,Jackson,Ben,746,5,2,0,0.0,,,514154,0,0,0,0,0,0.0,0.0,0,0.0,False,,,40,514154.jpg,0.0,False,,a,36,4145,61,2512,81,0.0,0.0,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,626,236,612,235,576,225,630,236,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,753,220,492,187,637,232,566,214,0.0,0.0
153,Kavanagh,Leigh,753,5,2,0,0.0,,,513836,0,0,0,0,0,0.0,0.0,0,0.0,False,,,40,513836.jpg,0.0,False,,a,36,1046,14,824,34,0.0,0.0,Kavanagh,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,625,235,611,234,575,224,629,235,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,752,219,491,186,636,231,652,232,0.0,0.0
154,Barco,Valentín,816,5,2,0,0.0,,,543158,0,0,0,0,0,0.0,0.0,0,0.0,False,,,40,543158.jpg,0.0,False,,a,36,1237,41,363,46,0.0,0.0,Barco,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,638,246,624,245,589,236,642,246,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,766,231,505,198,649,242,677,237,0.0,0.0
155,Al-Dakhil,Ameen,157,6,2,19,1.5,100.0,100.0,487968,0,0,-2,2,0,-0.5,-0.5,0,0.0,False,,2023-10-18T22:00:08.810786Z,38,487968.jpg,2.0,False,,a,90,337787,1795,181648,3405,0.0,5.0,Al-Dakhil,1055,1,0,0,26,1,0,0,1,0,0,0,127,193.0,42.8,84.0,32.0,12,1.28,0.54,1.81,20.63,276,103,358,125,251,74,314,111,,,,,,,0.11,0.0,0.05,0.16,1.76,2.22,836,271,384,128,375,130,141,58,1.02,0.0
156,Beyer,Jordan,160,6,2,30,2.0,25.0,25.0,241231,0,0,-1,1,1,-0.1,-0.1,0,0.0,False,Knock - 25% chance of playing,2024-01-02T08:30:10.683233Z,39,241231.jpg,1.0,False,,d,90,101775,31,425258,635,0.0,7.7,Beyer,1234,0,1,2,23,0,0,0,6,0,0,4,236,330.8,46.1,35.0,41.3,15,0.56,0.19,0.75,20.87,168,60,351,122,350,116,275,90,,,,,,,0.04,0.0,0.01,0.05,1.52,1.68,810,254,408,135,295,98,198,82,1.09,0.15
157,Egan-Riley,CJ,166,6,2,0,0.0,0.0,0.0,432711,0,0,-1,1,0,0.0,0.0,0,0.0,False,Season-long loan to PSV Eindhoven,2024-02-04T18:30:25.335183Z,39,432711.jpg,0.2,False,,u,90,23182,0,26474,101,0.0,0.0,Egan-Riley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,549,191,535,190,495,176,552,190,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,813,257,409,136,560,187,358,140,0.0,0.0
158,Ekdal,Hjalmar,167,6,2,5,0.8,100.0,100.0,478969,0,0,-1,1,0,-0.5,-0.5,0,0.0,False,,2023-12-26T00:00:09.124123Z,39,478969.jpg,0.1,False,,a,90,12012,71,23737,90,0.0,1.3,Ekdal,325,0,0,0,7,0,0,0,2,0,0,0,41,49.6,13.3,15.0,7.7,4,0.06,0.01,0.07,5.18,420,159,426,154,414,149,444,159,,,,,,,0.02,0.0,0.0,0.02,1.43,1.94,819,261,415,140,517,169,386,153,1.11,0.0
159,McNally,Luke,171,6,2,0,0.0,0.0,0.0,483391,0,0,0,0,0,0.0,0.0,0,0.0,False,Season long loan to Stoke City,2023-08-04T09:35:51.951556Z,40,483391.jpg,0.0,False,,u,90,0,0,1791,2,0.0,0.0,McNally,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,614,226,600,225,564,215,618,226,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,740,209,480,177,625,222,696,247,0.0,0.0
160,O'Shea,Dara,173,6,2,43,1.8,,,216616,0,0,-1,1,0,0.0,0.0,1,0.5,False,,,44,216616.jpg,0.4,False,,a,90,39568,2883,40258,300,0.1,9.8,O'Shea,2106,1,3,2,56,1,0,0,5,0,0,1,344,522.0,124.6,152.0,80.1,23,0.50,0.56,1.06,42.89,57,20,225,55,175,31,134,32,,,,,,,0.02,0.0,0.02,0.04,1.83,2.39,544,105,303,99,335,116,265,108,0.98,0.09
161,Roberts,Connor,176,6,2,12,0.9,0.0,0.0,192290,0,0,-2,2,0,0.0,0.0,0,0.0,False,Season-long loan to Leeds United,2024-02-04T18:31:11.422373Z,43,192290.jpg,0.1,False,,u,90,15050,0,33725,59,0.0,2.8,Roberts,817,0,1,0,23,0,0,0,3,1,0,0,111,142.8,104.1,12.0,25.7,8,0.00,0.35,0.35,19.91,315,121,256,72,423,155,344,125,,,,,,,0.0,0.0,0.04,0.04,2.19,2.53,620,136,549,228,506,166,378,148,0.88,0.0
162,Taylor,Charlie,178,6,2,37,1.9,100.0,100.0,103914,0,0,0,0,0,0.3,0.3,1,0.8,False,,2024-01-06T22:30:09.694018Z,40,103914.jpg,3.6,False,,a,90,839212,3367,563786,1497,0.2,9.2,Taylor,1722,1,1,2,36,0,0,0,6,0,0,1,263,312.4,157.7,35.0,50.7,19,0.14,0.93,1.07,32.29,188,71,184,41,351,117,229,69,,,,,,,0.01,0.0,0.05,0.06,1.69,1.88,680,169,259,84,312,105,96,37,0.99,0.1
163,Thomas,Bobby,179,6,2,0,0.0,0.0,0.0,461102,0,0,0,0,0,0.0,0.0,0,0.0,False,Permanent transfer to Coventry,2023-07-24T09:55:44.165399Z,40,461102.jpg,0.0,False,,u,90,0,0,1412,5,0.0,0.0,Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,601,220,587,219,550,208,605,220,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,724,200,466,170,612,216,697,248,0.0,0.0
164,da Silva,Victor,182,6,2,35,1.6,100.0,100.0,441455,0,0,-1,1,0,0.5,0.5,1,1.0,False,,2023-08-31T02:00:07.534376Z,44,441455.jpg,0.2,False,,a,90,15769,727,22296,82,0.2,8.0,Vitinho,1602,0,0,2,33,0,0,0,1,0,0,0,167,173.8,110.8,102.0,38.1,18,1.01,0.71,1.72,28.43,292,111,242,64,225,61,285,96,,,,,,,0.06,0.0,0.04,0.1,1.6,1.85,565,114,243,79,367,128,353,138,1.01,0.11
165,Dodgson,Owen,622,6,2,0,0.0,0.0,0.0,461567,0,0,0,0,0,0.0,0.0,0,0.0,False,Season-long loan to Barnsley,2023-09-01T21:48:22.703139Z,40,461567.jpg,0.0,False,,u,90,467,0,3619,4,0.0,0.0,Dodgson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,604,222,590,221,553,210,608,222,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,727,202,469,172,615,218,600,222,0.0,0.0
166,Delcroix,Hannes,674,6,2,7,0.6,100.0,100.0,247245,0,0,0,0,0,-0.5,-0.5,0,0.0,False,,2024-01-22T01:00:10.959578Z,40,247245.jpg,0.0,False,,a,90,5810,39,4968,29,0.0,1.8,Delcroix,584,0,0,0,25,0,0,0,2,0,0,0,88,110.0,57.8,42.0,20.9,5,0.35,0.12,0.47,15.91,341,132,331,114,331,107,367,132,,,,,,,0.05,0.0,0.02,0.07,2.45,3.85,710,191,454,163,534,178,520,199,0.77,0.0
167,Assignon,Lorenz,805,6,2,6,1.0,,,503724,0,0,0,0,0,-0.3,-0.3,0,0.2,False,,,40,503724.jpg,0.1,False,,a,90,8325,309,3079,126,0.0,1.5,Assignon,528,0,1,0,17,0,0,0,2,0,0,0,52,106.0,70.2,10.0,18.7,6,0.03,0.29,0.32,11.68,343,134,310,102,428,157,376,136,,,,,,,0.01,0.0,0.05,0.06,1.99,2.9,748,216,344,114,445,156,477,185,1.02,0.0
168,Esteve,Maxime,806,6,2,4,0.7,,,477717,0,0,0,0,0,0.0,0.0,0,0.5,False,,,40,477717.jpg,0.0,False,,a,90,1003,94,454,26,0.1,1.0,Estève,455,0,0,0,13,0,0,0,2,0,0,0,61,82.6,8.5,6.0,9.8,5,0.09,0.02,0.11,9.14,375,147,443,161,436,158,432,155,,,,,,,0.02,0.0,0.0,0.02,1.81,2.57,737,208,297,96,527,175,682,240,0.99,0.0
169,Ampadu,Ethan,185,7,2,0,0.0,0.0,0.0,199598,0,0,0,0,0,0.0,0.0,0,0.0,False,Permanent transfer to Leeds Utd,2023-07-20T08:39:43.633400Z,40,199598.jpg,0.0,False,,u,8,0,0,929,0,0.0,0.0,Ampadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,577,206,563,205,526,194,581,206,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,695,181,440,154,588,202,736,254,0.0,0.0
170,Azpilicueta,César,189,7,2,0,0.0,0.0,0.0,41328,0,0,0,0,0,0.0,0.0,0,0.0,False,Left the club as a free agent,2023-07-06T16:30:03.010661Z,45,41328.jpg,0.0,False,,u,8,0,0,100,0,0.0,0.0,Azpilicueta,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,700,267,689,267,669,264,703,267,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,350,49,609,249,707,265,816,267,0.0,0.0
171,Baba,Abdul Rahman,190,7,2,0,0.0,0.0,0.0,118335,0,0,0,0,0,0.0,0.0,0,0.0,False,Permanent Transfer to PAOK,2023-07-13T08:07:47.494096Z,40,118335.jpg,0.0,False,,u,8,0,0,292,0,0.0,0.0,Baba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,569,199,555,198,518,187,573,199,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,685,172,432,147,580,195,789,263,0.0,0.0
172,Badiashile,Benoît,191,7,2,18,2.2,0.0,0.0,242880,0,0,-1,1,0,0.0,0.0,0,0.0,False,Muscle injury - Expected back 30 Mar,2024-02-08T10:30:08.092371Z,44,242880.jpg,0.1,False,,i,8,22197,7,23699,94,0.0,4.1,B.Badiashile,559,0,1,1,15,0,0,0,1,0,0,4,123,160.8,40.1,25.0,22.6,6,0.11,0.63,0.74,10.03,305,118,364,127,386,134,357,130,,,,,,,0.02,0.0,0.1,0.12,1.61,2.42,557,112,590,246,267,87,501,193,0.97,0.16
173,Chalobah,Trevoh,194,7,2,3,1.0,100.0,100.0,180736,0,0,-2,2,0,0.0,1.0,1,1.0,False,,2023-08-11T16:00:07.662192Z,43,180736.jpg,0.1,False,,a,8,1809,103,17444,40,0.2,0.7,Chalobah,199,0,0,0,5,0,0,0,0,0,0,0,32,37.6,11.0,0.0,4.9,2,0.00,0.01,0.01,3.41,436,162,434,159,621,257,463,165,,,,,,,0.0,0.0,0.0,0.0,1.54,2.26,618,135,238,76,452,161,511,197,0.9,0.0
174,Chilwell,Ben,195,7,2,20,1.7,0.0,0.0,172850,0,0,-1,1,0,0.0,0.0,0,1.0,False,Knee injury - Unknown return date,2024-03-07T13:30:07.663926Z,54,172850.jpg,4.9,False,,i,8,2187149,82,3212912,6414,0.2,3.7,Chilwell,742,0,1,1,14,0,0,0,5,0,0,2,111,124.2,212.2,122.0,45.8,9,1.08,1.62,2.70,12.46,330,129,144,29,203,47,250,79,1.0,,4.0,,,,0.13,0.0,0.2,0.33,1.51,1.7,117,12,255,83,359,121,78,28,1.09,0.12
175,Colwill,Levi,197,7,2,65,2.8,0.0,0.0,460028,0,0,2,-2,1,0.0,0.0,0,1.0,False,Toe Injury - Unknown return date,2024-03-07T13:30:07.678989Z,47,460028.jpg,3.0,False,,i,8,1196220,46,1211531,10143,0.2,13.8,Colwill,1794,1,1,5,26,0,0,0,2,0,0,4,355,394.6,113.2,163.0,67.2,20,1.29,0.53,1.82,28.43,117,41,240,63,167,25,182,49,,,,,,,0.06,0.0,0.03,0.09,1.43,1.3,327,39,249,82,167,43,111,44,1.0,0.25
176,Cucurella Saseta,Marc,198,7,2,11,1.1,100.0,100.0,179268,0,0,-2,2,0,0.0,0.3,1,0.3,False,,2023-12-10T23:00:09.879958Z,48,179268.jpg,0.4,False,,a,8,55994,395,88141,153,0.1,2.3,Cucurella,793,0,0,1,16,0,0,0,5,0,0,0,118,172.0,92.8,58.0,32.3,9,0.85,0.26,1.11,14.03,298,114,271,79,306,95,312,110,,,,,,,0.1,0.0,0.03,0.13,1.59,1.82,286,33,336,109,430,146,278,113,1.02,0.11
177,Fofana,Wesley,201,7,2,0,0.0,0.0,0.0,444463,0,0,-1,1,0,0.0,0.0,0,0.0,False,Knee injury - Unknown return date,2023-07-18T23:30:03.865981Z,44,444463.jpg,0.0,False,,i,8,919,5,3429,5,0.0,0.0,W.Fofana,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,688,266,679,266,653,263,691,266,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,566,115,595,247,700,264,612,226,0.0,0.0
178,Gusto,Malo,203,7,2,53,2.6,100.0,100.0,482609,0,0,2,-2,2,0.0,2.7,1,2.7,False,,2024-01-22T17:00:10.084255Z,42,482609.jpg,6.5,False,,a,8,2391902,10205,1876660,6122,0.6,12.6,Gusto,1366,0,5,3,22,0,0,0,5,1,0,7,310,333.4,335.2,81.0,74.9,15,0.48,2.47,2.95,20.35,166,59,77,14,257,77,156,41,,,,,,,0.03,0.0,0.16,0.19,1.34,1.45,663,160,118,32,197,53,54,18,0.99,0.2
179,James,Reece,206,7,2,9,1.1,0.0,0.0,225796,0,0,-2,2,0,0.0,0.0,0,0.0,False,Hamstring injury - Unknown return date,2023-12-10T23:00:09.935968Z,53,225796.jpg,2.7,False,,i,8,508073,50,1768004,767,0.0,1.7,James,386,0,1,0,12,0,0,0,0,1,0,0,95,115.2,156.9,59.0,33.2,5,0.30,1.01,1.31,10.20,338,131,186,42,301,93,309,108,4.0,,2.0,,,,0.07,0.0,0.24,0.31,2.38,2.8,145,14,803,268,433,147,121,51,1.17,0.0
180,Sarr,Malang,214,7,2,0,0.0,,,204727,0,0,-2,2,0,0.0,0.0,0,0.0,False,,,43,204727.jpg,0.1,False,,a,8,5346,30,10383,43,0.0,0.0,M.Sarr,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,661,261,649,261,622,258,664,261,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,623,139,551,230,672,258,431,168,0.0,0.0
181,Emiliano da Silva,Thiago,217,7,2,66,2.9,100.0,100.0,51090,0,0,0,0,0,0.0,0.0,0,0.0,False,,2024-02-13T00:00:08.943792Z,50,51090.jpg,3.1,False,,a,8,424445,1415,466035,2177,0.0,13.2,T.Silva,1982,2,0,5,37,0,0,0,3,0,0,7,443,580.0,97.2,120.0,80.0,22,0.36,0.45,0.81,33.33,41,11,262,75,206,50,135,33,,,,,,,0.02,0.0,0.02,0.04,1.51,1.68,171,21,773,266,160,38,108,43,1.0,0.23
182,Disasi,Axel,611,7,2,66,2.6,100.0,100.0,220362,0,0,-1,1,1,0.0,4.0,1,4.0,False,,2023-10-10T12:00:09.181007Z,49,220362.jpg,3.4,False,,a,8,1007882,3396,887367,3235,0.8,13.5,Disasi,2226,2,0,5,38,1,0,0,6,0,0,6,414,512.6,85.3,146.0,74.4,25,1.26,1.38,2.64,35.92,62,24,283,86,182,36,159,42,,,,,,,0.05,0.0,0.06,0.11,1.45,1.54,245,29,58,12,205,59,98,39,1.01,0.2
183,Humphreys,Bashir,671,7,2,0,0.0,0.0,0.0,461188,0,0,0,0,0,0.0,0.0,0,0.0,False,Season-long loan to Swansea City,2023-09-03T20:06:46.325160Z,40,461188.jpg,0.0,False,,u,8,629,0,1005,1,0.0,0.0,Humphreys,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,602,221,588,220,551,209,606,221,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,725,201,467,171,613,217,709,250,0.0,0.0
184,Gilchrist,Alfie,716,7,2,5,1.0,,,514280,0,0,0,0,0,0.0,0.0,0,0.0,False,,,40,514280.jpg,0.0,False,,a,8,3944,34,2704,40,0.0,1.2,Gilchrist,18,0,0,0,1,0,0,0,0,0,0,0,14,10.0,0.9,0.0,1.0,0,0.00,0.01,0.01,1.28,477,174,479,177,577,226,504,179,,,,,,,0.0,0.0,0.05,0.05,6.4,5.0,754,221,493,188,446,157,561,212,0.0,0.0
185,Brooking,Josh,723,7,2,0,0.0,,,248854,0,0,0,0,0,0.0,0.0,0,0.0,False,,,40,248854.jpg,0.0,False,,a,8,1917,12,1679,24,0.0,0.0,Brooking,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,591,214,577,213,540,202,595,214,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,712,192,456,164,602,210,603,223,0.0,0.0
186,Samuels-Smith,Ishé,819,7,2,0,0.0,,,536238,0,0,0,0,0,0.0,0.0,0,0.0,False,,,40,536238.jpg,0.0,False,,a,8,121,17,65,9,0.0,0.0,Samuels-Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,637,245,623,244,588,235,641,245,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,765,230,504,197,648,241,775,260,0.0,0.0
187,Acheampong,Josh,838,7,2,0,0.0,,,577016,0,0,0,0,0,0.0,1.4,0,0.0,False,,,40,577016.jpg,0.0,False,,a,8,18,18,1,1,0.0,0.0,Acheampong,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,645,251,631,250,596,241,649,251,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,773,236,512,203,656,247,833,269,0.0,0.0
188,Holding,Rob,7,8,2,0,0.0,0.0,0.0,156074,0,0,-2,2,0,0.0,0.0,0,0.0,False,Ankle injury - Unknown return date,2023-12-01T17:00:08.901180Z,43,156074.jpg,0.1,False,,i,31,5586,10,16041,33,0.0,0.0,Holding,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,659,260,647,260,619,256,662,260,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,615,134,545,227,670,257,412,160,0.0,0.0
189,Andersen,Joachim,220,8,2,85,3.0,,,174874,0,0,2,-2,3,0.0,3.3,2,2.8,False,,,47,174874.jpg,13.6,False,,a,31,3241550,5582,2092902,22239,0.6,18.1,Andersen,2520,2,2,6,48,0,0,0,4,0,0,9,483,659.6,230.2,225.0,111.6,28,1.35,1.40,2.75,40.96,30,5,129,24,124,9,78,9,,,,,,,0.05,0.0,0.05,0.1,1.46,1.71,316,36,107,31,148,34,29,10,1.0,0.21
190,Clyne,Nathaniel,222,8,2,18,1.8,,,57328,0,0,-2,2,0,0.0,0.5,0,0.0,False,,,43,57328.jpg,0.1,False,,a,31,9670,43,14753,83,0.0,4.2,Clyne,716,0,0,1,12,0,0,0,0,0,0,0,109,96.0,33.8,13.0,14.4,7,0.04,0.09,0.13,13.37,350,137,375,134,420,153,398,140,,,,,,,0.01,0.0,0.01,0.02,1.68,1.51,600,123,537,221,330,113,413,161,0.88,0.13
191,Guéhi,Marc,228,8,2,58,2.6,0.0,0.0,209036,0,0,-3,3,1,0.0,0.0,0,0.0,False,Knee injury - Unknown return date,2024-02-03T18:30:08.939041Z,42,209036.jpg,1.6,False,,i,31,649855,22,680764,2336,0.0,13.8,Guéhi,1913,0,1,5,32,0,0,0,2,0,0,6,360,401.6,80.3,35.0,51.8,22,0.58,0.96,1.54,30.12,113,40,291,91,352,118,227,67,,,,,,,0.03,0.0,0.05,0.08,1.42,1.51,656,156,527,216,196,52,163,68,1.04,0.24
192,Mitchell,Tyrick,234,8,2,75,2.8,100.0,100.0,244723,0,0,0,0,1,0.0,3.3,3,2.8,False,,2023-12-06T23:30:08.694178Z,45,244723.jpg,2.9,False,,a,31,1071785,1599,838012,5082,0.6,16.7,Mitchell,2347,1,2,6,45,0,0,0,5,0,0,7,393,479.2,262.9,99.0,84.3,27,0.58,1.58,2.16,38.64,70,26,111,23,229,63,124,26,,,,,,,0.02,0.0,0.06,0.08,1.48,1.73,401,77,106,30,166,42,115,48,1.04,0.23
193,O'Brien,Jake,235,8,2,0,0.0,0.0,0.0,512462,0,0,0,0,0,0.0,0.0,0,0.0,False,Permanent transfer to Lyon,2023-08-17T06:14:22.523517Z,40,512462.jpg,0.0,False,,u,31,415,0,10517,6,0.0,0.0,O'Brien,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,624,234,610,233,574,223,628,234,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,751,218,490,185,635,230,546,208,0.0,0.0
194,Richards,Chris,238,8,2,33,1.7,,,427623,0,0,-1,1,1,0.0,5.3,2,4.8,False,,,39,427623.jpg,1.0,False,,a,31,133522,3842,75400,2236,1.2,8.5,C.Richards,1461,1,0,1,33,0,0,0,2,0,0,2,222,317.8,51.4,49.0,41.9,16,0.31,0.13,0.44,26.41,181,65,342,117,319,102,271,89,,,,,,,0.02,0.0,0.01,0.03,1.63,2.03,812,256,35,6,346,120,194,80,0.99,0.06
195,Tomkins,James,241,8,2,2,0.7,100.0,100.0,49413,0,0,0,0,0,0.0,0.7,0,0.2,False,,2023-10-20T15:30:08.713409Z,40,49413.jpg,0.4,False,,a,31,22952,58,71938,161,0.0,0.5,Tomkins,5,0,0,0,2,0,0,0,0,0,0,0,9,1.8,0.1,0.0,0.2,0,0.00,0.00,0.00,0.78,518,186,501,185,511,184,524,186,,,,,,,0.0,0.0,0.0,0.0,14.04,36.0,677,168,343,113,526,174,266,109,0.0,0.0
196,Ward,Joel,242,8,2,47,2.4,100.0,100.0,55494,0,0,0,0,0,0.0,3.3,2,2.8,False,,2023-12-16T19:00:08.792027Z,45,55494.jpg,0.2,False,,a,31,37159,140,46886,220,0.6,10.4,Ward,1692,0,1,5,28,1,0,0,4,0,0,0,251,276.6,77.4,41.0,39.5,20,0.88,0.24,1.12,26.04,213,81,301,97,336,110,282,93,,,,,,,0.05,0.0,0.01,0.06,1.39,1.49,352,50,104,28,234,72,330,130,1.06,0.27
